Country,Tariff_Year,HS_Family,Average_Tariff,Free_Trade_Agreement_with_US,European_Union
Turkey,2010,20,53.38,No,No
Turkey,2010,22,19.93,No,No
Turkey,2010,24,34.78,No,No
Turkey,2010,30,0.21,No,No
Turkey,2010,40,2.47,No,No
Turkey,2010,47,0.00,No,No
Turkey,2010,72,5.36,No,No
Turkey,2010,73,1.94,No,No
Turkey,2010,87,5.79,No,No
Turkey,2010,94,2.20,No,No
Turkey,2010,95,2.34,No,No
Thailand,2020,02,35.27,No,No
Thailand,2020,07,40.67,No,No
Thailand,2020,08,53.75,No,No
Thailand,2020,09,42.40,No,No
Thailand,2020,10,28.10,No,No
Thailand,2020,11,18.75,No,No
Thailand,2020,14,1.80,No,No
Thailand,2020,15,91.64,No,No
Thailand,2020,16,23.97,No,No
Thailand,2020,17,41.09,No,No
Thailand,2020,18,5.09,No,No
Thailand,2020,19,24.36,No,No
Thailand,2020,20,,No,No
Thailand,2020,22,56.80,No,No
Thailand,2020,24,63.60,No,No
Thailand,2020,30,7.36,No,No
Thailand,2020,40,7.50,No,No
Thailand,2020,47,0.00,No,No
Thailand,2020,72,3.32,No,No
Thailand,2020,73,9.85,No,No
Thailand,2020,87,34.66,No,No
Thailand,2020,94,18.33,No,No
Thailand,2020,95,9.67,No,No
Thailand,2019,02,35.27,No,No
Thailand,2019,07,40.67,No,No
Thailand,2019,08,53.75,No,No
Thailand,2019,09,42.40,No,No
Thailand,2019,10,28.10,No,No
Thailand,2019,11,18.75,No,No
